Año,Mes,Asset Code,N° Noches,N° Pasajeros,Mascota,Canal de Venta,Precio x Noche,Precio [$CLP] IVA Inc,Tax Booking,Clean Up,IVA 19%,Precio [$CLP] Neto,Medio de Pago,Boleta/Factura,Pago en USD
2022,Abril,C1,3,5,0,Venta Directa,70000.0,210000.0,0.0,25000,33529.41176470588,176470.58823529413,TEF,BOL,0
2022,Abril,C1,2,5,0,Booking,87584.0,175168.0,24472.000000000004,25000,27968.0,147200.0,TEF,BOL,1
2022,Abril,C1,1,5,0,Booking,87584.0,87584.0,12236.000000000002,25000,13984.0,73600.0,TEF,BOL,1
2022,Abril,C1,1,5,0,Venta Directa,75000.0,75000.0,0.0,25000,11974.789915966387,63025.21008403361,TEF,BOL,0
2022,Mayo,C1,3,1,0,Booking,90440.0,271320.0,37905.00000000001,25000,43320.0,228000.0,TEF,BOL,1
2022,Mayo,C1,1,5,0,Airbnb,75000.0,75000.0,2677.4999999999995,25000,11974.789915966387,63025.21008403361,TEF,BOL,0
2022,Mayo,C1,2,5,0,Booking,93296.0,186592.0,26068.000000000004,25000,29792.0,156800.0,TEF,BOL,1
2022,Mayo,C1,3,8,0,Venta Directa,80000.0,240000.0,0.0,25000,38319.32773109244,201680.67226890757,TEF,BOL,0
2022,Mayo,C1,2,7,0,Booking,112335.99999999999,224671.99999999997,31388.000000000007,25000,35871.99999999999,188799.99999999997,TEF,BOL,1
2022,Mayo,C1,1,5,0,Venta Directa,95000.0,95000.0,0.0,25000,15168.067226890758,79831.93277310925,TEF,BOL,0
2022,Junio,C1,2,2,1,Booking,133280.0,266560.0,37240.0,25000,42560.0,224000.0,TEF,BOL,1
2022,Junio,C1,2,5,0,Booking,114240.00000000001,228480.00000000003,31920.000000000007,25000,36480.00000000001,192000.00000000003,TEF,BOL,1
2022,Junio,C1,1,7,1,Airbnb,130000.0,130000.0,4640.999999999999,25000,20756.302521008405,109243.6974789916,TEF,BOL,0
2022,Junio,C1,3,6,0,Booking,140896.0,422688.0,59052.00000000001,25000,67488.0,355200.0,TEF,BOL,1
2022,Julio,C1,2,7,0,Booking,214200.0,428400.0,59850.00000000001,25000,68400.0,360000.0,TEF,BOL,1
2022,Julio,C1,3,5,0,Booking,165647.99999999997,496943.99999999994,69426.00000000001,25000,79343.99999999999,417599.99999999994,TEF,BOL,1
2022,Julio,C1,3,5,0,Venta Directa,120000.0,360000.0,0.0,25000,57478.99159663866,302521.00840336137,TEF,BOL,0
2022,Julio,C1,3,5,0,Booking,270368.0,811104.0,113316.00000000001,25000,129504.0,681600.0,TEF,BOL,1
2022,Julio,C1,2,6,0,Venta Directa,180000.0,360000.0,0.0,25000,57478.99159663866,302521.00840336137,TEF,BOL,0
2022,Julio,C1,2,7,0,Booking,214200.0,428400.0,59850.00000000001,25000,68400.0,360000.0,TEF,BOL,1
2022,Julio,C1,5,6,0,Booking,226576.0,1132880.0,158270.00000000003,25000,180880.0,952000.0,TEF,BOL,1
2022,Julio,C1,2,6,0,Venta Directa,180000.0,360000.0,0.0,25000,57478.99159663866,302521.00840336137,TEF,BOL,0
2022,Julio,C1,3,4,0,Booking,186592.0,559776.0,78204.0,25000,89376.0,470400.0,TEF,BOL,1
2022,Julio,C1,1,4,0,Venta Directa,150000.0,150000.0,0.0,25000,23949.579831932773,126050.42016806723,TEF,BOL,0
2022,Julio,C1,2,5,0,Venta Directa,100000.0,200000.0,0.0,25000,31932.7731092437,168067.2268907563,TEF,BOL,0
2022,Agosto,C1,4,6,0,Venta Directa,150000.0,600000.0,0.0,25000,95798.3193277311,504201.6806722689,TEF,BOL,0
2022,Agosto,C1,2,6,0,Venta Directa,150000.0,300000.0,0.0,25000,47899.15966386555,252100.84033613445,TEF,BOL,0
2022,Agosto,C1,2,4,0,Airbnb,170000.0,340000.0,12137.999999999998,25000,54285.71428571429,285714.28571428574,TEF,BOL,0
