Fecha,Periodo,Año,Mes,Asset Code,Fecha Entrada,Fecha Salida,N° Noches,N° Pasajeros,Mascota,Canal de Venta,Precio x Noche,Precio [$CLP] IVA Inc,Tax Booking,Clean Up,IVA 19%,Medio de Pago,Boleta/Factura,Pago en USD,Precio [$CLP] Neto
2022-02-25,2022-02,2022,Febrero,C1,2022-02-25,2022-02-27,2.0,6.0,,Venta Directa,85000.0,170000.0,0.0,1,27142.857142857145,TEF,BOL,0,142857.14285714287
2022-02-27,2022-02,2022,Febrero,C1,2022-02-27,2022-03-01,2.0,6.0,,Booking,97104.0,194208.0,27132.000000000004,1,31008.0,TEF,BOL,1,163200.0
2024-02-24,2024-02,2024,Febrero,C1,2024-02-24,2024-02-25,1.0,,,Venta Directa,80000.0,80000.0,0.0,0,12773.10924369748,TEF,BOL,0,67226.89075630253
2024-07-22,2024-07,2024,Julio,C2,2024-07-22,2024-07-23,1.0,9.0,,Venta Directa,212000.0,212000.0,0.0,0,33848.73949579832,Transbank,BOL,0,178151.2605042017
,,1900,,,,,,,,,,0.0,0.0,0,0.0,,,0,0.0
,,1900,,,,,,,,,,0.0,0.0,0,0.0,,,0,0.0
,,1900,,,,,,,,,,0.0,0.0,0,0.0,,,0,0.0
,,1900,,,,,,,,,,0.0,0.0,0,0.0,,,0,0.0
,,1900,,,,,,,,,,0.0,0.0,0,0.0,,,0,0.0
,,1900,,,,,,,,,,0.0,0.0,0,0.0,,,0,0.0
,,1900,,,,,,,,,,0.0,0.0,0,0.0,,,0,0.0
,,1900,,,,,,,,,,0.0,0.0,0,0.0,,,0,0.0
,,1900,,,,,,,,,,0.0,0.0,0,0.0,,,0,0.0
,,1900,,,,,,,,,,0.0,0.0,0,0.0,,,0,0.0
,,1900,,,,,,,,,,0.0,0.0,0,0.0,,,0,0.0
,,1900,,,,,,,,,,0.0,0.0,0,0.0,,,0,0.0
,,1900,,,,,,,,,,0.0,0.0,0,0.0,,,0,0.0
,,1900,,,,,,,,,,0.0,0.0,0,0.0,,,0,0.0
,,1900,,,,,,,,,,0.0,0.0,0,0.0,,,0,0.0
,,1900,,,,,,,,,,0.0,0.0,0,0.0,,,0,0.0
,,1900,,,,,,,,,,0.0,0.0,0,0.0,,,0,0.0
,,1900,,,,,,,,,,0.0,0.0,0,0.0,,,0,0.0
